Genre,Reports,Age,Gpa,Year,Count,Gender,Translate
Academic Support and Resources,I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,21,1,2,1,M,Saya merasa profesor saya tidak peduli dengan keberhasilan saya dalam mata kuliah ini. Mereka tidak memberi kita dukungan atau sumber daya yang cukup untuk melakukan yang terbaik.
Academic Support and Resources,The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for.,27,3.15,2,1,F,Buku teks untuk kursus ini sudah ketinggalan zaman dan tidak memberikan informasi yang cukup. Saya merasa tidak mendapatkan pendidikan yang saya bayarkan.
Academic Support and Resources,I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion.,19,2.17,2,1,M,Saya sangat frustrasi dengan kurangnya transparansi dalam kursus ini. Profesor tidak berkomunikasi dengan kami dengan jelas dan ini menyebabkan banyak kebingungan.
Academic Support and Resources,The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions.,22,01.08,2,1,M,Asisten pengajar untuk mata kuliah ini sama sekali tidak membantu. Mereka tidak tahu materinya dan tidak bisa menjawab pertanyaan saya.
Academic Support and Resources,The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best.,18,3.55,2,1,M,Skala penilaian untuk kursus ini terlalu keras. Hampir mustahil untuk mendapatkan nilai A dan itu membuat saya enggan untuk mencoba yang terbaik.
Academic Support and Resources,I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,24,0.37,2,1,M,Saya kecewa dengan kualitas pendidikan yang saya terima dalam kursus ini. Saya mengharapkan lebih banyak dari universitas.
Academic Support and Resources,The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating.,16,3.97,2,1,M,Profesor untuk mata kuliah ini tidak terorganisir dan sepertinya tidak punya rencana. Saya tidak belajar apa pun dan itu membuat frustrasi.
Academic Support and Resources,The cost of attending this university is outrageous. I don't know how I'm going to afford it.,20,3.37,2,1,F,Biaya kuliah di universitas ini sangat mahal. Saya tidak tahu bagaimana saya akan mampu membelinya.
Academic Support and Resources,The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly.,25,1.15,2,1,M,Buku teks untuk kursus ini tidak membantu sama sekali. Itu ditulis dengan buruk dan tidak menjelaskan apa pun dengan jelas.
Academic Support and Resources,I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,19,02.09,2,1,F,Saya sangat prihatin dengan kurangnya keragaman dalam kursus ini. Kita tidak mendapatkan pendidikan yang menyeluruh.
Academic Support and Resources,The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair.,18,1.73,2,1,F,Profesor untuk mata kuliah ini bias dan itu mempengaruhi nilai saya. Mereka sepertinya punya favorit dan itu tidak adil.
Academic Support and Resources,The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,27,0.81,2,1,F,Beban kerja untuk kursus ini sangat berat. Saya tidak punya cukup waktu untuk menyelesaikan semuanya dan itu mempengaruhi kelas saya yang lain.
Academic Support and Resources,I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more.,26,2.68,2,1,F,Saya berharap ada lebih banyak peluang untuk mendapatkan kredit tambahan dalam kursus ini. Ini akan membantu nilai saya dan mendorong saya untuk belajar lebih banyak.
Academic Support and Resources,The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success.,27,3.12,2,1,F,Profesor untuk mata kuliah ini tidak mudah didekati. Saya takut untuk meminta bantuan mereka dan itu menghambat kesuksesan saya.
Academic Support and Resources,The course fees are too high for what we're getting. We're not getting our money's worth.,21,1.55,2,1,M,Biaya kursus terlalu tinggi untuk apa yang kami dapatkan. Kami tidak mendapatkan nilai uang kami.
Academic Support and Resources,The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade.,25,3.12,2,1,M,Sistem penilaian mata kuliah ini terlalu subyektif. Sulit untuk mengetahui apa yang diinginkan profesor dan itu mempengaruhi nilai saya.
Academic Support and Resources,The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating.,18,3.14,2,1,F,Profesor untuk mata kuliah ini tidak tertarik dan itu terlihat dalam perkuliahan mereka. Saya tidak belajar apa pun dan itu membuat frustrasi.
Academic Support and Resources,The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,19,1.7,2,1,F,Buku teks untuk kursus ini penuh dengan kesalahan dan kesalahan. Sulit untuk belajar dari sesuatu yang tidak akurat.
Academic Support and Resources,I am concerned about the lack of academic rigor in this course. We,16,1.68,2,1,F,Saya prihatin dengan kurangnya ketelitian akademis dalam kursus ini. Kami
Academic Support and Resources,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,24,1.77,2,1,F,Terbatasnya akses terhadap teknologi dan perangkat lunak menghambat kemampuan saya untuk mengerjakan tugas kuliah. Saya tidak mampu membeli program mahal sendirian.
Academic Support and Resources,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,24,3.74,2,1,M,Saya mencoba untuk lulus lebih awal tetapi hanya ada beberapa mata kuliah yang tersedia yang perlu saya ambil. Sungguh membuat frustrasi karena pilihan saya sangat terbatas.
Academic Support and Resources,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,16,2.18,2,1,M,Sistem online untuk mengakses materi kursus selalu down atau bermasalah. Sulit untuk menyelesaikan pekerjaan ketika saya bahkan tidak dapat mengakses tugas saya.
Academic Support and Resources,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,24,1.74,2,1,M,Saya berharap ada lebih banyak kesempatan untuk mengakses database dan materi penelitian di luar perpustakaan. Akan menyenangkan jika memiliki lebih banyak pilihan dan fleksibilitas.
Academic Support and Resources,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,18,0.55,2,1,F,Sangat sulit untuk menemukan materi kursus yang saya perlukan untuk kelas saya karena materi tersebut tersebar di banyak sumber yang berbeda. Saya berharap ada sistem yang lebih efisien.
Academic Support and Resources,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,22,1.76,2,1,M,Kurangnya kursus yang tersedia membuat saya sulit memenuhi semua persyaratan gelar saya. Saya khawatir saya tidak akan bisa lulus tepat waktu.
Academic Support and Resources,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",21,1.4,2,1,M,"Saya mengalami masalah dengan program perangkat lunak tertentu untuk salah satu kelas saya, namun tidak ada orang yang dapat membantu saya memecahkan masalah tersebut. Rasanya frustasi karena merasa sendirian."
Academic Support and Resources,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,24,1.69,2,1,M,Terbatasnya akses terhadap database dan materi penelitian sangat membuat frustrasi ketika saya mencoba menulis tesis atau melakukan penelitian orisinal. Rasanya seperti aku menabrak dinding.
Academic Support and Resources,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,26,2.27,2,1,M,Saya seorang pelajar internasional dan saya mengalami kesulitan mengakses beberapa sumber online karena pembatasan regional. Sungguh frustasi rasanya merasa ketinggalan karena dari mana saya berasal.
Academic Support and Resources,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,22,3.78,2,1,F,Saya seorang siswa pindahan dan saya merasa dirugikan karena saya tidak memiliki akses ke semua sumber daya dan database yang sama dengan siswa yang memulai di universitas ini.
Academic Support and Resources,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,26,03.06,2,1,M,Saya seorang siswa penyandang disabilitas dan saya mengalami kesulitan mengakses teknologi dan perangkat lunak yang saya perlukan untuk mengerjakan tugas kuliah saya. Rasanya frustasi karena kebutuhan saya tidak terakomodasi.
Academic Support and Resources,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,16,3.53,2,1,F,Sungguh membuat frustrasi karena terbatasnya akses terhadap penasihat akademis karena merekalah yang dapat membantu saya merencanakan gelar saya dan memastikan saya berada di jalur yang tepat untuk lulus.
Academic Support and Resources,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,17,2.85,2,1,M,Saya berharap ada lebih banyak pilihan untuk mengakses materi pelajaran secara online sehingga saya tidak perlu pergi ke perpustakaan atau toko buku secara fisik setiap kali saya membutuhkan sesuatu.
Academic Support and Resources,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,27,1.16,2,1,F,Sulit untuk melakukan proyek kelompok ketika kita memiliki akses terbatas terhadap teknologi dan perangkat lunak. Hal ini menempatkan kami pada posisi yang kurang menguntungkan dibandingkan dengan kelompok lain.
Academic Support and Resources,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,17,1.91,2,1,M,Saya kesulitan mengakses database dan bahan penelitian karena jam buka perpustakaan terbatas dan sering tutup ketika ada waktu untuk belajar.
Academic Support and Resources,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,16,01.08,2,1,M,Terbatasnya akses terhadap database dan materi penelitian membuat saya sulit untuk selalu mengikuti perkembangan terkini dalam bidang studi saya. Rasanya seperti aku tertinggal.
Academic Support and Resources,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,26,2.6,2,1,M,Terbatasnya akses terhadap teknologi dan perangkat lunak membuat sulit untuk mengikuti kecepatan kursus. Rasanya seperti saya terus-menerus mengejar ketinggalan.
Academic Support and Resources,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,18,3.75,2,1,F,Kurangnya mata kuliah yang tersedia membuat saya sulit mengambil mata kuliah pilihan yang menarik minat saya. Saya merasa pilihan akademis saya terlalu terbatas.
Academic Support and Resources,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,18,2.18,2,1,M,Terbatasnya akses terhadap penasihat akademis membuat saya merasa sendirian dalam mengambil keputusan akademis yang penting.
Academic Support and Resources,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,21,0.29,2,1,M,Sungguh mengesalkan bahwa kita mempunyai akses terbatas terhadap penasihat akademis. Hal ini menyulitkan kita untuk merencanakan karir akademis kita dan mendapatkan bimbingan yang kita butuhkan.
Academic Support and Resources,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,26,0.95,2,1,F,Saya benar-benar kesulitan menemukan dan mengakses materi kursus. Hal ini membuat sulit untuk mengikuti kursus.
Academic Support and Resources,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,27,0.93,2,1,F,Saya berharap ada lebih banyak ketersediaan kursus. Sungguh membuat frustasi karena terbatasnya pilihan kelas dan tidak dapat mengambil apa yang kita perlukan.
Academic Support and Resources,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,27,0.52,2,1,M,Terbatasnya akses terhadap teknologi dan perangkat lunak merupakan masalah besar. Hal ini menghambat kemampuan kami untuk menyelesaikan tugas dan memenuhi tuntutan kursus kami.
Academic Support and Resources,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,17,3.27,2,1,F,Terbatasnya akses terhadap database dan materi penelitian merupakan masalah besar. Hal ini menyulitkan penyelesaian tugas penelitian dan penulisan makalah.
Academic Support and Resources,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,26,3.2,2,1,F,Sungguh membuat frustrasi karena kami tidak memiliki akses yang lebih baik terhadap penasihat akademis. Ini menyebabkan banyak stres dan kecemasan.
Academic Support and Resources,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,25,1.38,2,1,F,Kesulitan dalam mencari dan mengakses materi pelajaran membuat kami sulit untuk berhasil di kelas.
Academic Support and Resources,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,25,2.27,2,1,F,Ketersediaan kursus yang terbatas merupakan masalah besar bagi siswa. Kami membutuhkan lebih banyak pilihan kelas untuk dapat memenuhi tujuan akademik kami.
Academic Support and Resources,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,27,0.57,2,1,F,Terbatasnya akses terhadap teknologi dan perangkat lunak menghalangi kita untuk dapat menyelesaikan tugas tepat waktu dan dengan kemampuan terbaik kita.
Academic Support and Resources,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,16,1.12,2,1,F,Sungguh membuat frustasi karena terbatasnya akses terhadap database dan materi penelitian. Ini menyulitkan untuk menyelesaikan tugas penelitian dan menulis makalah.
Academic Support and Resources,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,17,1.67,2,1,M,Saya merasa tidak mendapatkan dukungan yang saya perlukan dari penasihat akademis. Terbatasnya akses terhadap mereka membuat sulit untuk merencanakan karir akademis saya.
Academic Support and Resources,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,18,1.35,2,1,M,Kesulitan dalam mencari dan mengakses materi pelajaran merupakan sumber stres utama bagi siswa. Penting bagi kita untuk memiliki akses terhadap apa yang kita perlukan untuk berhasil.
Academic Support and Resources,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,21,0.36,2,1,M,Ketersediaan kursus yang terbatas merupakan masalah utama bagi siswa. Kami membutuhkan lebih banyak pilihan untuk dapat mengambil kelas yang kami butuhkan.
Academic Support and Resources,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,16,3.49,2,1,F,Terbatasnya akses terhadap teknologi dan perangkat lunak merupakan masalah besar. Hal ini berdampak pada kemampuan kita untuk berhasil dalam kursus dan mempersiapkan diri memasuki dunia kerja.
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,19,0.3,2,1,M,Terbatasnya akses terhadap database dan materi penelitian menyebabkan banyak frustrasi di kalangan mahasiswa. Kita membutuhkan akses yang lebih baik untuk dapat berhasil secara akademis.
Academic Support and Resources,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,17,2.8,2,1,F,Sangat sulit untuk berhasil secara akademis ketika kita memiliki akses terbatas terhadap penasihat akademis. Kami membutuhkan lebih banyak dukungan.
Academic Support and Resources,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,18,3.49,2,1,F,Kesulitan dalam mencari dan mengakses materi pelajaran merupakan penghalang keberhasilan bagi banyak siswa. Penting bagi kita untuk memiliki akses terhadap apa yang kita perlukan untuk berhasil.
Academic Support and Resources,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,16,3.83,2,1,M,Terbatasnya ketersediaan kursus menyebabkan banyak stres bagi siswa. Kami membutuhkan lebih banyak pilihan untuk dapat mengambil kelas yang kami butuhkan.
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,24,1.94,2,1,M,Terbatasnya akses terhadap teknologi dan perangkat lunak mempersulit penyelesaian tugas dan persiapan memasuki dunia kerja. Ini adalah masalah besar bagi siswa.
Academic Support and Resources,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,23,2.28,2,1,F,Keterbatasan akses terhadap database dan materi penelitian membuat penyelesaian tugas dan penulisan makalah menjadi sulit. Kami membutuhkan akses yang lebih baik.
Academic Support and Resources,It's really frustrating to not have more access to academic advisors. It's important that we have support to be able to plan our academic careers.,26,0.09,2,1,F,Sungguh membuat frustrasi karena tidak memiliki lebih banyak akses terhadap penasihat akademis. Penting bagi kita untuk mendapat dukungan untuk dapat merencanakan karir akademis kita.
Academic Support and Resources,The difficulty in finding and accessing course materials is a major issue. It's important that we have access to what we need to succeed academically.,21,2.48,1,1,F,Sulitnya mencari dan mengakses materi perkuliahan merupakan permasalahan besar. Penting bagi kita untuk memiliki akses terhadap apa yang kita butuhkan untuk berhasil secara akademis.
Academic Support and Resources,Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,16,1.19,1,1,M,Ketersediaan kursus yang terbatas berdampak pada kemampuan kami untuk lulus tepat waktu dan memenuhi tujuan akademik kami. Kami membutuhkan lebih banyak pilihan.
Academic Support and Resources,Limited access to technology and software is a major issue for students. It's important that we have access to the tools we need to succeed academically and in the workforce.,21,1.15,1,1,M,Terbatasnya akses terhadap teknologi dan perangkat lunak merupakan masalah utama bagi siswa. Penting bagi kita untuk memiliki akses terhadap alat-alat yang kita perlukan untuk berhasil secara akademis dan di dunia kerja.
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration for students. It's important that we have better access to complete our coursework.,24,2.98,1,1,F,Terbatasnya akses terhadap database dan materi penelitian menyebabkan banyak frustrasi bagi siswa. Penting bagi kami untuk memiliki akses yang lebih baik untuk menyelesaikan tugas kami.
Academic Support and Resources,"Academic advisors are so important, but the limited access to them is making it difficult to plan our academic careers and succeed.",24,2.66,1,1,F,"Penasihat akademis sangat penting, namun terbatasnya akses terhadap mereka membuat kita sulit merencanakan karir akademis kita dan meraih kesuksesan."
Academic Support and Resources,The difficulty in finding and accessing course materials is causing a lot of stress for students.,18,03.03,1,1,F,Sulitnya mencari dan mengakses materi pelajaran menyebabkan banyak stres bagi siswa.
Academic Support and Resources,It's frustrating not being able to find the resources I need for my research projects due to the limited access to research databases and materials.,23,1.17,1,1,M,Sungguh membuat frustrasi karena tidak dapat menemukan sumber daya yang saya perlukan untuk proyek penelitian saya karena terbatasnya akses ke database dan materi penelitian.
Academic Support and Resources,Limited course availability is making it difficult to schedule my classes for next semester.,19,01.09,1,1,M,Terbatasnya ketersediaan mata kuliah membuat saya kesulitan menjadwalkan perkuliahan untuk semester depan.
Academic Support and Resources,The difficulty in finding and accessing course materials is really hindering my ability to study effectively.,17,0.7,1,1,F,Sulitnya mencari dan mengakses materi pelajaran sangat menghambat kemampuan saya untuk belajar secara efektif.
Academic Support and Resources,"The lack of access to academic advisors is really concerning, especially when I have questions about course selection and career planning.",26,0.44,1,1,F,"Kurangnya akses terhadap penasihat akademis sungguh memprihatinkan, terutama ketika saya memiliki pertanyaan tentang pemilihan mata kuliah dan perencanaan karir."
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework.,24,0.69,1,1,M,Terbatasnya akses terhadap teknologi dan perangkat lunak membuat saya sulit menyelesaikan tugas dan mengikuti perkembangan tugas kuliah saya.
Academic Support and Resources,I'm worried that my research projects won't be up to standard due to the limited access to research databases and materials.,21,1.4,1,1,M,Saya khawatir proyek penelitian saya tidak memenuhi standar karena terbatasnya akses terhadap database dan materi penelitian.
Academic Support and Resources,Limited course availability is making it impossible to complete my degree requirements on time.,20,01.03,1,1,F,Ketersediaan kursus yang terbatas membuat saya tidak mungkin menyelesaikan persyaratan gelar tepat waktu.
Academic Support and Resources,I feel like I'm falling behind in my courses due to the difficulty in finding and accessing course materials.,16,3.41,1,1,M,Saya merasa tertinggal dalam mata kuliah saya karena sulitnya mencari dan mengakses materi mata kuliah.
Academic Support and Resources,"The lack of access to academic advisors is really frustrating, especially when I need help with scheduling or resolving academic issues.",19,1.5,1,1,F,"Kurangnya akses terhadap penasihat akademik sungguh membuat frustrasi, terutama ketika saya memerlukan bantuan dalam menjadwalkan atau menyelesaikan masalah akademik."
Academic Support and Resources,Limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career.,18,0.03,1,1,F,Terbatasnya akses terhadap teknologi dan perangkat lunak memengaruhi kemampuan saya untuk bersaing dengan rekan-rekan saya dan mempersiapkan karir masa depan saya.
Academic Support and Resources,I'm struggling to find the necessary course materials for my courses due to the limited access available.,18,2.51,1,1,F,Saya kesulitan menemukan materi kursus yang diperlukan untuk kursus saya karena terbatasnya akses yang tersedia.
Academic Support and Resources,The limited access to academic advisors is making it difficult for me to plan my academic career and get the support I need.,20,3.56,1,1,F,Terbatasnya akses terhadap penasihat akademis membuat saya sulit merencanakan karir akademis dan mendapatkan dukungan yang saya perlukan.
Academic Support and Resources,Limited course availability is causing me to have to adjust my academic plans and career aspirations.,27,2.23,1,1,F,Terbatasnya ketersediaan kursus menyebabkan saya harus menyesuaikan rencana akademik dan aspirasi karir saya.
Academic Support and Resources,Limited access to technology and software is causing me to fall behind in my coursework and struggle with assignments.,19,0.93,1,1,M,Terbatasnya akses terhadap teknologi dan perangkat lunak menyebabkan saya tertinggal dalam tugas kuliah dan kesulitan mengerjakan tugas.
Academic Support and Resources,I'm worried about the quality of my research projects due to the limited access to research databases and materials.,17,2.33,1,1,M,Saya khawatir dengan kualitas proyek penelitian saya karena terbatasnya akses terhadap database dan materi penelitian.
Academic Support and Resources,The difficulty in finding and accessing course materials is causing me to spend unnecessary time and resources trying to complete assignments.,16,2.46,1,1,F,Kesulitan dalam mencari dan mengakses materi kursus menyebabkan saya menghabiskan waktu dan sumber daya yang tidak perlu untuk menyelesaikan tugas.
Academic Support and Resources,Limited access to academic advisors is causing me to feel unsupported and disconnected from my academic goals.,17,0.37,1,1,F,Terbatasnya akses terhadap penasihat akademis menyebabkan saya merasa tidak didukung dan terputus dari tujuan akademis saya.
Academic Support and Resources,Limited course availability is causing me to miss out on valuable academic opportunities and experiences.,27,2.57,1,1,F,Terbatasnya ketersediaan kursus menyebabkan saya kehilangan kesempatan dan pengalaman akademis yang berharga.
Academic Support and Resources,The limited access to technology and software is causing me to have to use outdated tools and resources for my coursework.,18,2.36,1,1,M,Keterbatasan akses terhadap teknologi dan perangkat lunak menyebabkan saya harus menggunakan alat dan sumber daya yang sudah ketinggalan zaman untuk tugas kuliah saya.
Academic Support and Resources,I feel like I'm not able to reach my full academic potential due to the limited access to research databases and materials.,21,2.64,1,1,M,Saya merasa belum mampu mencapai potensi akademis saya secara maksimal karena terbatasnya akses terhadap database dan materi penelitian.
Academic Support and Resources,The difficulty in finding and accessing course materials is causing me to feel stressed and overwhelmed with my coursework.,26,0.43,1,1,M,Sulitnya mencari dan mengakses materi kuliah menyebabkan saya merasa stres dan kewalahan dengan tugas kuliah saya.
Academic Support and Resources,Limited access to academic advisors is causing me to feel lost and unsupported in my academic journey.,17,1.6,1,1,M,Terbatasnya akses terhadap penasihat akademis menyebabkan saya merasa tersesat dan tidak mendapat dukungan dalam perjalanan akademis saya.
Academic Support and Resources,I'm concerned that my academic achievements and career prospects will be impacted by the limited course availability.,23,2.41,1,1,F,Saya khawatir prestasi akademis dan prospek karir saya akan terpengaruh oleh terbatasnya ketersediaan kursus.
Academic Support and Resources,The limited access to technology and software is causing me to feel unprepared for the demands of the modern workforce.,20,3.87,1,1,F,Keterbatasan akses terhadap teknologi dan perangkat lunak menyebabkan saya merasa tidak siap menghadapi tuntutan dunia kerja modern.
Academic Support and Resources,The limited access to research databases and materials is making it difficult to produce high-quality research projects and assignments.,24,2.14,1,1,F,Keterbatasan akses terhadap database dan materi penelitian menyulitkan untuk menghasilkan proyek dan tugas penelitian berkualitas tinggi.
Academic Support and Resources,I'm struggling to keep up with my coursework due to the difficulty in finding and accessing course materials.,27,1.31,1,1,M,Saya kesulitan untuk menyelesaikan tugas kuliah saya karena kesulitan dalam mencari dan mengakses materi kursus.
Academic Support and Resources,Limited access to academic advisors is causing me to feel like I'm not receiving the guidance I need to succeed academically.,18,03.07,1,1,F,Terbatasnya akses terhadap penasihat akademis menyebabkan saya merasa tidak menerima bimbingan yang saya perlukan untuk berhasil secara akademis.
Academic Support and Resources,Limited course availability is causing me to have to change my academic plans and goals.,20,2.21,1,1,M,Terbatasnya ketersediaan kursus menyebabkan saya harus mengubah rencana dan tujuan akademik saya.
Academic Support and Resources,The limited access to technology and software is causing me to feel like I'm not developing the skills I need to succeed in my future career.,21,1.64,1,1,M,Terbatasnya akses terhadap teknologi dan perangkat lunak membuat saya merasa tidak mengembangkan keterampilan yang saya perlukan untuk sukses dalam karir masa depan saya.
Academic Support and Resources,The limited access to research databases and materials is causing me to feel like I'm not able to fully explore my academic interests.,22,1.86,1,1,M,Keterbatasan akses terhadap database dan materi penelitian membuat saya merasa belum bisa mengeksplorasi minat akademis saya secara maksimal.
